Country,Last,Previous,Reference,Unit
Afghanistan,20,20,Dec/25,%
Albania,23,23,Dec/25,%
Algeria,35,35,Dec/25,%
Angola,25,25,Dec/25,%
Argentina,35,35,Dec/25,%
Armenia,20,20,Dec/25,%
Aruba,52,52,Dec/25,%
Australia,45,45,Dec/25,%
Austria,55,55,Dec/25,%
Azerbaijan,25,25,Dec/25,%
Bahamas,0,0,Dec/25,%
Bahrain,0,0,Dec/25,%
Bangladesh,25,25,Dec/24,%
Barbados,28.5,28.5,Dec/25,%
Belarus,13,13,Dec/25,%
Belgium,50,50,Dec/25,%
Bermuda,0,0,Dec/25,%
Bolivia,13,13,Dec/25,%
Bosnia and Herzegovina,10,10,Dec/25,%
Botswana,25,25,Dec/25,%
Brazil,27.5,27.5,Dec/25,%
Brunei,0,0,Dec/25,%
Bulgaria,10,10,Dec/25,%
Cambodia,20,20,Dec/25,%
Cameroon,38.5,38.5,Dec/25,%
Canada,33,33,Dec/25,%
Cayman Islands,0,0,Dec/25,%
Chad,30,30,Dec/25,%
Chile,40,40,Dec/25,%
China,45,45,Dec/25,%
Colombia,39,39,Dec/25,%
Congo,40,40,Dec/25,%
Costa Rica,25,25,Dec/25,%
Croatia,30,30,Dec/25,%
Cyprus,35,35,Dec/25,%
Czech Republic,23,23,Dec/25,%
Denmark,55.9,55.9,Dec/25,%
Dominican Republic,25,25,Dec/25,%
Ecuador,37,37,Dec/25,%
Egypt,27.5,27.5,Dec/25,%
El Salvador,30,30,Dec/25,%
Equatorial Guinea,35,35,Dec/25,%
Estonia,20,20,Dec/25,%
Ethiopia,35,35,Dec/25,%
Euro area,41.8,42.7,Dec/23,%
European Union,37.9,38.7,Dec/23,%
Fiji,20,20,Dec/25,%
Finland,57.65,57.3,Dec/25,%
France,45,45,Dec/25,%
Gabon,35,35,Dec/25,%
Gambia,25,30,Dec/25,%
Georgia,20,20,Dec/25,%
Germany,45,45,Dec/25,%
Ghana,35,35,Dec/25,%
Greece,44,44,Dec/25,%
Guatemala,7,7,Dec/25,%
Guinea,20,20,Dec/25,%
Honduras,25,25,Dec/25,%
Hong Kong,15,15,Dec/25,%
Hungary,15,15,Dec/25,%
Iceland,46.28,46.28,Dec/25,%
India,39,42.74,Dec/25,%
Indonesia,35,35,Dec/25,%
Iraq,15,15,Dec/25,%
Ireland,40,40,Dec/25,%
Isle of Man,22,22,Dec/25,%
Israel,50,50,Dec/25,%
Italy,43,43,Dec/25,%
Jamaica,30,30,Dec/25,%
Japan,55.95,55.95,Dec/25,%
Jordan,30,30,Dec/25,%
Kazakhstan,10,10,Dec/25,%
Kenya,35,35,Dec/25,%
Kosovo,10,10,Dec/25,%
Kuwait,0,0,Dec/25,%
Laos,25,25,Dec/25,%
Latvia,33,31,Dec/25,%
Lebanon,25,25,Dec/25,%
Lesotho,30,30,Dec/25,%
Libya,10,10,Dec/25,%
Liechtenstein,22.4,22.4,Dec/25,%
Lithuania,32,32,Dec/25,%
Luxembourg,42,42,Dec/24,%
Macau,12,12,Dec/25,%
Macedonia,10,10,Dec/25,%
Madagascar,20,20,Dec/25,%
Malawi,35,35,Dec/25,%
Malaysia,30,30,Dec/25,%
Malta,35,35,Dec/25,%
Mauritania,40,40,Dec/25,%
Mauritius,20,20,Dec/25,%
Mexico,35,35,Dec/25,%
Moldova,12,12,Dec/25,%
Mongolia,20,20,Dec/25,%
Montenegro,15,9,Dec/25,%
Morocco,38,38,Dec/25,%
Mozambique,32,32,Dec/25,%
Myanmar,25,25,Dec/25,%
Namibia,37,37,Dec/25,%
Netherlands,49.5,49.5,Dec/25,%
New Zealand,39,39,Dec/25,%
Nicaragua,30,30,Dec/25,%
Nigeria,24,24,Dec/25,%
Norway,47.4,39.6,Dec/25,%
Oman,0,0,Dec/25,%
Pakistan,35,35,Dec/25,%
Panama,25,25,Dec/25,%
Papua New Guinea,42,42,Dec/25,%
Peru,30,30,Dec/25,%
Philippines,35,35,Dec/25,%
Poland,32,32,Dec/25,%
Portugal,48,48,Dec/25,%
Puerto Rico,33,33,Dec/25,%
Qatar,0,0,Dec/25,%
Republic of the Congo,40,40,Dec/25,%
Romania,10,10,Dec/25,%
Russia,13,13,Dec/25,%
Rwanda,30,30,Dec/25,%
Samoa,27,27,Dec/25,%
Saudi Arabia,0,0,Dec/25,%
Senegal,43,43,Dec/25,%
Serbia,10,10,Dec/25,%
Seychelles,15,15,Dec/25,%
Sierra Leone,15,15,Dec/25,%
Singapore,24,24,Dec/25,%
Slovakia,25,25,Dec/25,%
Slovenia,50,50,Dec/25,%
South Africa,45,45,Dec/25,%
South Korea,45,45,Dec/25,%
Spain,47,47,Dec/25,%
Sri Lanka,18,18,Dec/25,%
Sudan,15,15,Dec/25,%
Suriname,38,38,Dec/25,%
Swaziland,33,33,Dec/25,%
Sweden,52,52,Dec/25,%
Switzerland,40,40,Dec/25,%
Syria,22,22,Dec/25,%
Taiwan,40,40,Dec/25,%
Tajikistan,12,12,Dec/25,%
Tanzania,30,30,Dec/25,%
Thailand,35,35,Dec/25,%
Trinidad And Tobago,25,25,Dec/25,%
Tunisia,35,35,Dec/25,%
Turkey,40,40,Dec/25,%
Uganda,40,40,Dec/25,%
Ukraine,18,18,Dec/25,%
United Arab Emirates,0,0,Dec/25,%
United Kingdom,45,45,Dec/25,%
United States,37,37,Dec/25,%
Uruguay,36,36,Dec/25,%
Uzbekistan,12,12,Dec/25,%
Venezuela,34,34,Dec/25,%
Vietnam,35,35,Dec/25,%
Zambia,37,37,Dec/25,%
Zimbabwe,41.2,41.2,Dec/25,%
